iter	Passed	Remaining
0	6	3197
1	11	2962
2	16	2733
3	21	2665
4	26	2632
5	31	2564
6	35	2530
7	41	2541
8	45	2500
9	50	2467
10	54	2435
11	59	2433
12	64	2420
13	69	2399
14	74	2399
15	78	2377
16	82	2357
17	88	2363
18	92	2344
19	97	2332
20	103	2352
21	107	2332
22	111	2320
23	116	2315
24	121	2304
25	125	2290
26	130	2280
27	134	2275
28	139	2266
29	143	2250
30	148	2243
31	153	2240
32	157	2228
33	162	2225
34	167	2225
35	171	2213
36	176	2204
37	181	2205
38	185	2194
39	190	2196
40	196	2199
41	205	2235
42	209	2225
43	214	2222
44	218	2213
45	223	2203
46	228	2198
47	232	2190
48	236	2180
49	241	2174
50	246	2167
51	250	2157
52	254	2150
53	260	2149
54	264	2139
55	268	2130
56	274	2135
57	278	2125
58	283	2117
59	288	2112
60	292	2103
61	296	2097
62	301	2089
63	306	2086
64	310	2080
65	315	2071
66	320	2069
67	324	2063
68	329	2055
69	333	2050
70	338	2045
71	343	2039
72	347	2035
73	352	2030
74	357	2025
75	364	2031
76	369	2031
77	374	2025
78	379	2019
79	383	2015
80	388	2008
81	392	2002
82	397	1996
83	401	1990
84	406	1983
85	410	1975
86	415	1971
87	419	1963
88	423	1957
89	428	1952
90	432	1945
91	437	1939
92	441	1932
93	446	1926
94	450	1920
95	454	1913
96	459	1908
97	463	1901
98	468	1895
99	472	1888
100	476	1883
101	481	1877
102	485	1870
103	489	1864
104	493	1857
105	498	1851
106	502	1845
107	506	1839
108	511	1834
109	515	1827
110	519	1821
111	524	1816
112	528	1811
113	533	1806
114	539	1805
115	544	1801
116	548	1796
117	553	1793
118	558	1787
119	562	1781
120	567	1777
121	571	1771
122	576	1766
123	580	1760
124	585	1755
125	589	1749
126	593	1744
127	598	1738
128	603	1735
129	607	1730
130	612	1724
131	616	1719
132	621	1714
133	625	1708
134	630	1703
135	634	1697
136	638	1692
137	642	1686
138	647	1681
139	651	1675
140	655	1670
141	660	1664
142	664	1659
143	668	1653
144	673	1648
145	677	1643
146	682	1638
147	686	1632
148	690	1627
149	694	1621
150	699	1616
151	703	1610
152	708	1606
153	713	1602
154	717	1597
155	721	1591
156	727	1588
157	731	1583
158	735	1576
159	740	1573
160	744	1568
161	749	1563
162	753	1558
163	758	1553
164	762	1547
165	766	1542
166	771	1538
167	775	1532
168	779	1526
169	784	1522
170	788	1517
171	792	1511
172	797	1506
173	801	1502
174	806	1497
175	810	1491
176	815	1487
177	819	1482
178	823	1476
179	827	1471
180	832	1467
181	837	1462
182	841	1457
183	846	1454
184	850	1448
185	855	1443
186	860	1439
187	864	1435
188	868	1429
189	873	1425
190	877	1420
191	881	1414
192	887	1411
193	892	1408
194	897	1404
195	902	1399
196	907	1395
197	912	1391
198	916	1386
199	920	1381
200	926	1378
201	930	1373
202	935	1368
203	940	1364
204	944	1359
205	949	1354
206	953	1350
207	958	1345
208	962	1340
209	967	1335
210	972	1332
211	976	1326
212	980	1321
213	985	1317
214	990	1312
215	994	1308
216	999	1303
217	1003	1298
218	1008	1293
219	1012	1288
220	1017	1284
221	1022	1280
222	1026	1275
223	1031	1271
224	1035	1266
225	1040	1261
226	1045	1257
227	1049	1252
228	1054	1248
229	1060	1244
230	1065	1241
231	1070	1236
232	1075	1232
233	1080	1228
234	1085	1223
235	1089	1219
236	1094	1215
237	1099	1210
238	1103	1205
239	1108	1201
240	1113	1196
241	1118	1192
242	1122	1187
243	1127	1182
244	1131	1177
245	1135	1172
246	1140	1168
247	1145	1163
248	1150	1159
249	1155	1155
250	1159	1150
251	1164	1146
252	1168	1141
253	1173	1136
254	1177	1131
255	1182	1126
256	1187	1122
257	1191	1117
258	1195	1112
259	1200	1108
260	1205	1103
261	1209	1098
262	1213	1093
263	1218	1089
264	1223	1084
265	1227	1079
266	1232	1075
267	1237	1071
268	1242	1066
269	1246	1061
270	1250	1056
271	1254	1051
272	1259	1047
273	1264	1042
274	1269	1038
275	1274	1034
276	1279	1030
277	1283	1025
278	1288	1020
279	1292	1015
280	1296	1010
281	1301	1005
282	1307	1002
283	1312	998
284	1316	993
285	1320	988
286	1325	983
287	1329	978
288	1334	973
289	1339	970
290	1344	965
291	1348	960
292	1352	955
293	1357	951
294	1361	946
295	1366	941
296	1370	937
297	1375	932
298	1380	927
299	1384	922
300	1389	918
301	1393	913
302	1398	909
303	1403	904
304	1408	900
305	1413	895
306	1418	891
307	1423	887
308	1428	883
309	1433	878
310	1438	874
311	1442	869
312	1447	864
313	1451	859
314	1456	855
315	1460	850
316	1465	845
317	1470	841
318	1474	836
319	1479	832
320	1483	827
321	1488	822
322	1492	818
323	1498	813
324	1502	809
325	1507	804
326	1512	800
327	1516	795
328	1520	790
329	1525	785
330	1529	781
331	1534	776
332	1538	771
333	1544	767
334	1548	762
335	1552	757
336	1557	753
337	1562	749
338	1567	744
339	1572	739
340	1577	735
341	1582	730
342	1586	726
343	1592	722
344	1597	717
345	1601	712
346	1607	708
347	1611	703
348	1615	699
349	1621	694
350	1625	690
351	1629	685
352	1635	680
353	1639	676
354	1644	671
355	1649	667
356	1653	662
357	1658	657
358	1662	653
359	1667	648
360	1672	643
361	1676	639
362	1681	634
363	1686	629
364	1690	625
365	1694	620
366	1699	615
367	1704	611
368	1708	606
369	1713	602
370	1717	597
371	1721	592
372	1726	588
373	1731	583
374	1735	578
375	1739	573
376	1744	569
377	1748	564
378	1753	559
379	1759	555
380	1763	550
381	1767	546
382	1772	541
383	1776	536
